SN,idx_kpr,file_kpr,phase_kpr,low_wl_kpr,high_wl_kpr,snr_kpr,src_kpr,z_uni,m_b_uni,m_b_err_uni,x1_uni,x1_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni,sn_kpr
1994d,923,1994D_19940316_3331_10270_00.dat,-5.574527622156571,3378.0,10198.0,298.2936382926456,other,,,,,,,,,,1994d
1994d,924,1994D_19940317_2999_10549_00.dat,-4.576581395491049,3046.0,10476.0,641.1827861499141,other,,,,,,,,,,1994d
1994d,925,1994D_19940319_3402_9132_00.dat,-2.5806889421600037,3448.0,9062.0,235.75180292246188,other,,,,,,,,,,1994d
1994d,926,1994D_19940323_3465_9203_00.dat,1.4110959645020862,3512.0,9134.0,210.49791485745976,other,,,,,,,,,,1994d
1994d,927,1994D_19940323_4439_7013_00.dat,1.4110959645020862,4484.0,6948.0,219.31910837693215,other,,,,,,,,,,1994d
1994d,928,1994D_19940324_4398_7015_00.dat,2.4090421911676088,4442.0,6950.0,196.12885602599545,other,,,,,,,,,,1994d
1994d,929,1994D_19940325_3402_9363_00.dat,3.406988417833132,3448.0,9294.0,222.2413223605401,other,,,,,,,,,,1994d
1994d,930,1994D_19940325_4392_7012_00.dat,3.406988417833132,4436.0,6948.0,150.88459497391648,other,,,,,,,,,,1994d
1994d,931,1994D_19940326_4407_6999_00.dat,4.4049346444986535,4452.0,6934.0,200.13013359200488,other,,,,,,,,,,1994d
1994d,932,1994D_19940328_4403_7013_00.dat,6.4008270978297,4448.0,6948.0,212.4124244699936,other,,,,,,,,,,1994d
1994m,163,sn1994M-19940504.15-fast.flm,2.8264268960123387,3674.0,7406.0,26.57340903054594,cfa,0.0243,16.27,0.09,-1.74,0.18,0.11,0.02,35.11,0.18,1994m
1994m,164,sn1994M-19940505.17-fast.flm,3.82329945269412,3674.0,7406.0,26.66975128286195,cfa,0.0243,16.27,0.09,-1.74,0.18,0.11,0.02,35.11,0.18,1994m
1994m,165,sn1994M-19940506.26-fast.flm,4.888584831900318,3676.0,7408.0,16.070187626593295,cfa,0.0243,16.27,0.09,-1.74,0.18,0.11,0.02,35.11,0.18,1994m
1994m,166,sn1994M-19940507.29-fast.flm,5.895230648943747,3676.0,7408.0,12.872271896414174,cfa,0.0243,16.27,0.09,-1.74,0.18,0.11,0.02,35.11,0.18,1994m
1994m,167,sn1994M-19940508.26-fast.flm,6.843236903831516,3676.0,7408.0,18.679220051498785,cfa,0.0243,16.27,0.09,-1.74,0.18,0.11,0.02,35.11,0.18,1994m
1994s,6,sn1994s-19940616-uoi.flm,0.9988405962732136,3126.0,11080.0,56.52432236696379,bsnip,0.0152,14.76,0.14,0.23,0.27,0.0,0.02,34.10,0.22,1994s
1994s,168,sn1994S-19940611.28-fast.flm,-3.983541786310848,3800.0,7562.0,75.68976348751471,cfa,0.0152,14.76,0.14,0.23,0.27,0.0,0.02,34.10,0.22,1994s
1994s,169,sn1994S-19940616.24-fast.flm,0.9023057062930296,3800.0,7562.0,54.61946939972781,cfa,0.0152,14.76,0.14,0.23,0.27,0.0,0.02,34.10,0.22,1994s
1994t,170,sn1994T-19940611.21-fast.flm,-0.17880338972341694,3728.0,7418.0,8.318859324305643,cfa,0.0357,17.23,0.07,-2.03,0.20,0.13,0.03,35.96,0.17,1994t
1994t,171,sn1994T-19940612.19-fast.flm,0.7683713234210499,3728.0,7418.0,6.992488084520277,cfa,0.0357,17.23,0.07,-2.03,0.20,0.13,0.03,35.96,0.17,1994t
1994t,172,sn1994T-19940616.23-fast.flm,4.673050753106737,3728.0,7418.0,7.490405109507015,cfa,0.0357,17.23,0.07,-2.03,0.20,0.13,0.03,35.96,0.17,1994t
1995ac,7,sn1995ac-19950926-uoi.flm,-5.848265090872368,3100.0,9900.0,17.81887229184927,bsnip,0.0488,17.03,0.05,0.57,0.14,0.02,0.01,36.38,0.16,1995ac
1995ac,173,sn1995ac-19950927.31-fast.flm,-4.987357805068296,3530.0,6938.0,39.889952556095466,cfa,0.0488,17.03,0.05,0.57,0.14,0.02,0.01,36.38,0.16,1995ac
1995al,174,sn1995al-19951114.52-fast.flm,6.1404381479183625,3734.0,7504.0,293.9547295924852,cfa,0.005,13.29,0.43,0.64,0.19,0.15,0.02,32.32,0.46,1995al
1995bd,175,sn1995bd-19951228.25-fast.flm,-6.9416518825131535,3700.0,7414.0,77.80604796729565,cfa,0.0144,15.25,0.18,0.54,0.13,0.34,0.01,33.80,0.24,1995bd
1995d,8,sn1995d-19950224-uohp.flm,3.670915125858948,3152.0,9784.0,183.7563113565872,bsnip,0.0065,13.22,0.33,0.94,0.13,0.02,0.02,32.61,0.37,1995d
1995d,176,sn1995D-19950224.30-fast.flm,3.538782050968948,3530.0,6704.0,208.7497943189456,cfa,0.0065,13.22,0.33,0.94,0.13,0.02,0.02,32.61,0.37,1995d
1995d,177,sn1995D-19950226.28-fast.flm,5.505875947907062,3430.0,6958.0,195.62587041058399,cfa,0.0065,13.22,0.33,0.94,0.13,0.02,0.02,32.61,0.37,1995d
1995e,9,sn1995e-19950224-uoi2.flm,-2.176803499498083,3138.0,11160.0,96.99597904598845,bsnip,0.0117,16.68,0.19,-0.51,0.17,0.84,0.02,33.86,0.24,1995e
1995e,178,sn1995E-19950224.27-fast.flm,-2.2203000271917173,3512.0,6672.0,42.42170742394707,cfa,0.0117,16.68,0.19,-0.51,0.17,0.84,0.02,33.86,0.24,1995e
1995e,179,sn1995E-19950226.27-fast.flm,-0.2431851321023761,3542.0,6928.0,44.59633051755585,cfa,0.0117,16.68,0.19,-0.51,0.17,0.84,0.02,33.86,0.24,1995e
1995e,180,sn1995E-19950228.23-fast.flm,1.6943874650915078,3512.0,6914.0,53.94524145302744,cfa,0.0117,16.68,0.19,-0.51,0.17,0.84,0.02,33.86,0.24,1995e
1995e,181,sn1995E-19950303.16-fast.flm,4.5908607863976805,3606.0,6922.0,41.14469037304055,cfa,0.0117,16.68,0.19,-0.51,0.17,0.84,0.02,33.86,0.24,1995e
1995e,182,sn1995E-19950305.17-fast.flm,6.5778612559572895,3414.0,6924.0,48.71899436978659,cfa,0.0117,16.68,0.19,-0.51,0.17,0.84,0.02,33.86,0.24,1995e
1996ab,183,sn1996ab-19960522.37-fast.flm,-0.19469026548131704,3328.0,6596.0,10.22485120228124,cfa,0.1244,19.44,0.03,0.17,0.21,-0.11,0.02,39.04,0.16,1996ab
1996bl,184,sn1996bl-19961016.29-fast.flm,-3.913127413123986,3624.0,7242.0,34.37006438524446,cfa,0.036000000000000004,16.62,0.07,-0.09,0.18,0.04,0.02,35.82,0.17,1996bl
1996bl,185,sn1996bl-19961018.18-fast.flm,-2.088803088800223,3624.0,7242.0,37.44492617273853,cfa,0.036000000000000004,16.62,0.07,-0.09,0.18,0.04,0.02,35.82,0.17,1996bl
1996bo,186,sn1996bo-19961103.27-fast.flm,3.27931700555468,3690.0,7376.0,33.293031161198016,cfa,0.0163,15.82,0.13,-1.04,0.18,0.4,0.01,34.02,0.2,1996bo
1996bo,187,sn1996bo-19961105.24-fast.flm,5.215844134138277,3690.0,7374.0,49.410964619005824,cfa,0.0163,15.82,0.13,-1.04,0.18,0.4,0.01,34.02,0.2,1996bo
1996c,188,sn1996C-19960217.48-fast.flm,1.8636806231784884,3656.0,7312.0,52.4626256450175,cfa,0.0275,16.59,0.08,0.39,0.19,0.12,0.02,35.65,0.18,1996c
1996c,189,sn1996C-19960220.40-fast.flm,4.706913339827226,3656.0,7312.0,50.45751231126221,cfa,0.0275,16.59,0.08,0.39,0.19,0.12,0.02,35.65,0.18,1996c
1996x,190,sn1996X-19960414.32-fast.flm,-3.5612670006832237,3728.0,7450.0,108.65003912374023,cfa,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,191,sn1996X-19960415.32-fast.flm,-2.5681641003262032,3728.0,7450.0,162.37726655400576,cfa,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,192,sn1996X-19960416.44-fast.flm,-1.455888851923739,3728.0,7450.0,52.906171613034964,cfa,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,193,sn1996X-19960417.33-fast.flm,-0.5720272706065687,3728.0,7450.0,129.38486527423072,cfa,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,194,sn1996X-19960418.31-fast.flm,0.401213571739265,3728.0,7450.0,144.98297381460424,cfa,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,195,sn1996X-19960419.30-fast.flm,1.384385443097918,3728.0,7452.0,144.6176270596427,cfa,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,196,sn1996X-19960420.31-fast.flm,2.387419372453306,3728.0,7452.0,129.57320995365657,cfa,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,933,1996X_19960414_4654_6633_00.dat,-3.879059928797181,4676.0,6536.0,189.31214692136558,other,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,934,1996X_19960416_3748_9916_00.dat,-1.89285412808314,3776.0,9798.0,304.5730252539273,other,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,935,1996X_19960417_4654_6623_00.dat,-0.8997512277261197,4676.0,6526.0,145.5965658718892,other,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,936,1996X_19960417_4654_6623_01.dat,-0.8997512277261197,4676.0,6526.0,145.5965658718892,other,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,937,1996X_19960418_3079_10670_00.dat,0.09335167263090084,3110.0,10546.0,246.62973962494252,other,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,938,1996X_19960419_3077_10669_00.dat,1.0864545729879214,3110.0,10544.0,246.2644111631942,other,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996x,939,1996X_19960421_4230_8543_00.dat,3.0726603737019618,4254.0,8434.0,183.15654596333744,other,0.006999999999999999,12.97,0.31,-1.19,0.10,0.02,0.01,32.09,0.35,1996x
1996z,197,sn1996Z-19960518.18-fast.flm,6.226831749495188,3726.0,7450.0,94.5424261257996,cfa,0.0086,14.24,0.25,-0.39,0.38,0.32,0.02,32.72,0.3,1996z
1997bp,10,sn1997bp-19970416-uoi.flm,6.223272161792632,3186.0,10332.0,99.3616457837056,bsnip,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31,1997bp
1997bp,198,sn1997bp-19970407.42-mmt.flm,-2.7332809685903,3004.0,8808.0,111.48252195748695,cfa,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31,1997bp
1997bp,199,sn1997bp-19970409.29-fast.flm,-0.8786962765479365,3722.0,7404.0,82.54702434446715,cfa,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31,1997bp
1997bp,200,sn1997bp-19970410.27-fast.flm,0.09322511285923646,3722.0,7446.0,100.70177901627899,cfa,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31,1997bp
1997bp,201,sn1997bp-19970411.30-fast.flm,1.1147343282668798,3722.0,7450.0,96.4331753298934,cfa,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31,1997bp
1997bp,202,sn1997bp-19970412.31-fast.flm,2.116408413267119,3722.0,7450.0,98.64856339333308,cfa,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31,1997bp
1997bp,203,sn1997bp-19970413.31-fast.flm,3.1081649330744803,3722.0,7450.0,98.20866943131315,cfa,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31,1997bp
1997bp,204,sn1997bp-19970414.30-fast.flm,4.090003887688964,3722.0,7450.0,113.56656903145064,cfa,0.0094,13.92,0.23,0.25,0.21,0.26,0.01,32.63,0.31,1997bp
1997bq,205,sn1997bq-19970413.22-fast.flm,-6.434859800301722,3718.0,7440.0,70.48640477006406,cfa,0.0096,14.42,0.23,-0.81,0.14,0.2,0.02,33.15,0.31,1997bq
1997bq,206,sn1997bq-19970414.21-fast.flm,-5.45402666676975,3718.0,7440.0,112.47212565215011,cfa,0.0096,14.42,0.23,-0.81,0.14,0.2,0.02,33.15,0.31,1997bq
1997br,11,sn1997br-19970416-uoi.flm,-4.418660365560601,3194.0,10356.0,171.3237064153759,bsnip,,,,,,,,,,1997br
1997br,207,sn1997br-19970414.31-fast.flm,-6.526097930240166,3732.0,7468.0,115.93450976216906,cfa,,,,,,,,,,1997br
1997do,12,sn1997do-19971108-uoi.flm,-5.8052508612779885,3290.0,10344.0,151.72097743197182,bsnip,0.0105,14.29,0.21,-0.38,0.27,0.11,0.02,33.29,0.3,1997do
1997do,208,sn1997do-19971107.51-fast.flm,-6.765532807978543,3736.0,7414.0,128.34490048179845,cfa,0.0105,14.29,0.21,-0.38,0.27,0.11,0.02,33.29,0.3,1997do
1997dt,209,sn1997dt-19971129.11-fast.flm,-4.641036892027056,3746.0,7434.0,125.31945349784418,cfa,0.0061,15.39,0.36,-0.61,0.27,0.56,0.02,33.24,0.42,1997dt
1997dt,210,sn1997dt-19971204.11-fast.flm,0.3226389283196465,3746.0,7434.0,107.51439149152529,cfa,0.0061,15.39,0.36,-0.61,0.27,0.56,0.02,33.24,0.42,1997dt
1997dt,211,sn1997dt-19971206.11-fast.flm,2.308109256458328,3746.0,7434.0,60.63589792885334,cfa,0.0061,15.39,0.36,-0.61,0.27,0.56,0.02,33.24,0.42,1997dt
1997e,212,sn1997E-19970116.25-fast.flm,-3.2450650640942595,3704.0,7400.0,63.94731864357487,cfa,0.0133,15.09,0.17,-1.85,0.27,0.1,0.02,33.95,0.27,1997e
1997y,13,sn1997y-19970209-uohp.flm,2.7720191442561264,3204.0,9714.0,82.81363297469724,bsnip,0.0166,15.31,0.13,-1.22,0.21,0.06,0.02,34.34,0.25,1997y
1997y,213,sn1997Y-19970209.41-fast.flm,2.8300976703620364,3696.0,7384.0,54.091030092329255,cfa,0.0166,15.31,0.13,-1.22,0.21,0.06,0.02,34.34,0.25,1997y
1997y,214,sn1997Y-19970210.40-fast.flm,3.804635650762958,3878.0,7384.0,64.72536687519582,cfa,0.0166,15.31,0.13,-1.22,0.21,0.06,0.02,34.34,0.25,1997y
1998ab,215,sn1998ab-19980418.28-fast.flm,6.855983456850026,3674.0,6570.0,71.37758840565701,cfa,0.0279,16.11,0.08,0.04,0.14,0.14,0.02,35.09,0.22,1998ab
1998aq,216,sn1998aq-19980424.37-fast.flm,-3.3555876811623166,4118.0,6006.0,408.47029940926217,cfa,,,,,,,,,,1998aq
1998aq,217,sn1998aq-19980427.29-fast.flm,-0.4463489552113554,3760.0,7422.0,267.88918500549016,cfa,,,,,,,,,,1998aq
1998aq,218,sn1998aq-19980428.26-fast.flm,0.5200762380001196,3760.0,7432.0,265.79689749730017,cfa,,,,,,,,,,1998aq
1998aq,219,sn1998aq-19980429.26-fast.flm,1.5163908701757025,3760.0,7442.0,304.03953526667544,cfa,,,,,,,,,,1998aq
1998aq,220,sn1998aq-19980430.24-fast.flm,2.4927792097037136,3760.0,7442.0,295.9295947047832,cfa,,,,,,,,,,1998aq
1998aq,221,sn1998aq-19980501.25-fast.flm,3.499056988203082,3760.0,7442.0,275.74873166498,cfa,,,,,,,,,,1998aq
1998aq,222,sn1998aq-19980502.23-fast.flm,4.475445327738343,3760.0,7442.0,287.4220697895803,cfa,,,,,,,,,,1998aq
1998aq,223,sn1998aq-19980503.24-fast.flm,5.4817231062304606,3760.0,7436.0,285.28932606114006,cfa,,,,,,,,,,1998aq
1998aq,224,sn1998aq-19980504.26-fast.flm,6.497964031053616,3760.0,7434.0,265.31120712160254,cfa,,,,,,,,,,1998aq
1998bp,225,sn1998bp-19980430.47-fast.flm,-2.7671360043408164,3734.0,7392.0,54.25058950357257,cfa,,,,,,,,,,1998bp
1998bp,226,sn1998bp-19980501.47-fast.flm,-1.7774593218162302,3734.0,7392.0,84.47525816710258,cfa,,,,,,,,,,1998bp
1998bp,227,sn1998bp-19980502.47-fast.flm,-0.7877826392916443,3734.0,7392.0,92.14366740261008,cfa,,,,,,,,,,1998bp
1998bp,228,sn1998bp-19980503.45-fast.flm,0.1821005095784175,3734.0,7386.0,92.26036638045628,cfa,,,,,,,,,,1998bp
1998bp,229,sn1998bp-19980504.39-fast.flm,1.1123965911538325,3734.0,7384.0,83.34160715035611,cfa,,,,,,,,,,1998bp
1998bu,230,sn1998bu-19980516.15-fast.flm,-3.5344250003970648,3762.0,7468.0,481.6727844177311,cfa,,,,,,,,,,1998bu
1998bu,231,sn1998bu-19980517.15-fast.flm,-2.5374080750377406,3762.0,7468.0,258.76295125591304,cfa,,,,,,,,,,1998bu
1998bu,232,sn1998bu-19980518.16-fast.flm,-1.5304209804227913,3762.0,7468.0,538.616146390661,cfa,,,,,,,,,,1998bu
1998bu,233,sn1998bu-19980520.15-fast.flm,0.4536427010402338,3662.0,5454.0,377.0725486644778,cfa,,,,,,,,,,1998bu
1998co,234,sn1998co-19980623.45-fast.flm,3.5960128556723467,3706.0,7356.0,79.19100005172837,cfa,0.017,15.65,0.14,-2.33,1.54,0.12,0.05,34.38,0.31,1998co
1998co,235,sn1998co-19980624.45-fast.flm,4.578261655364313,3706.0,7356.0,81.0827247149364,cfa,0.017,15.65,0.14,-2.33,1.54,0.12,0.05,34.38,0.31,1998co
1998de,236,sn1998de-19980726.47-fast.flm,-6.301212725202035,3712.0,7368.0,42.2220302713276,cfa,,,,,,,,,,1998de
1998de,237,sn1998de-19980727.45-fast.flm,-5.337092745393535,3712.0,7368.0,31.827727196384483,cfa,,,,,,,,,,1998de
1998de,238,sn1998de-19980729.50-fast.flm,-3.3203111549665465,3712.0,7368.0,17.59559344108443,cfa,,,,,,,,,,1998de
1998de,239,sn1998de-19980730.46-fast.flm,-2.3758670931102546,3712.0,7368.0,26.121264212216072,cfa,,,,,,,,,,1998de
1998de,240,sn1998de-19980801.41-fast.flm,-0.4574650924586216,3712.0,7368.0,29.42159895911887,cfa,,,,,,,,,,1998de
1998de,241,sn1998de-19980804.46-fast.flm,2.5431123957290738,3712.0,7368.0,35.58253768814871,cfa,,,,,,,,,,1998de
1998dh,242,sn1998dh-19980730.44-fast.flm,-5.041780272733389,3740.0,7422.0,100.17046430465125,cfa,0.0077,13.84,0.28,-1.03,0.18,0.13,0.02,32.71,0.35,1998dh
1998dh,243,sn1998dh-19980801.40-fast.flm,-3.0992032460862595,3740.0,7422.0,120.78952300344412,cfa,0.0077,13.84,0.28,-1.03,0.18,0.13,0.02,32.71,0.35,1998dh
1998dh,244,sn1998dh-19980804.36-fast.flm,-0.16551549155750134,3740.0,7422.0,111.08668329472643,cfa,0.0077,13.84,0.28,-1.03,0.18,0.13,0.02,32.71,0.35,1998dh
1998dk,14,sn1998dk-19980831-ui.flm,-0.7283716550889345,3310.0,10016.0,225.8333136062668,bsnip,0.012,14.86,0.20,-0.30,0.55,0.26,0.05,33.50,0.28,1998dk
1998dm,15,sn1998dm-19980831-ui-corrected.flm,-4.865205879574188,3332.0,10082.0,266.82544507498267,bsnip,0.0056,14.62,0.40,0.41,0.36,0.32,0.04,33.20,0.44,1998dm
1998dm,245,sn1998dm-19980910.42-fast.flm,5.066887887652735,3748.0,7440.0,69.1675999472576,cfa,0.0056,14.62,0.40,0.41,0.36,0.32,0.04,33.20,0.44,1998dm
1998dm,246,sn1998dm-19980911.33-fast.flm,5.970979648002343,3748.0,7440.0,88.04252260099658,cfa,0.0056,14.62,0.40,0.41,0.36,0.32,0.04,33.20,0.44,1998dm
1998dx,16,sn1998dx-19980921-ui.flm,4.71152240889689,3184.0,9624.0,35.60293061003145,bsnip,0.0537,17.58,0.05,-2.32,0.41,0.06,0.03,36.48,0.22,1998dx
1998dx,247,sn1998dx-19980914.18-fast.flm,-1.971118092550861,3582.0,7102.0,21.115976951126303,cfa,0.0537,17.58,0.05,-2.32,0.41,0.06,0.03,36.48,0.22,1998dx
1998dx,248,sn1998dx-19980915.22-fast.flm,-0.9846104812643856,3582.0,7102.0,17.09409021110755,cfa,0.0537,17.58,0.05,-2.32,0.41,0.06,0.03,36.48,0.22,1998dx
1998dx,249,sn1998dx-19980917.13-fast.flm,0.8271486894585504,3582.0,7102.0,6.064846807781142,cfa,0.0537,17.58,0.05,-2.32,0.41,0.06,0.03,36.48,0.22,1998dx
1998dx,250,sn1998dx-19980918.15-fast.flm,1.7946850005310306,3582.0,7102.0,22.31281599490172,cfa,0.0537,17.58,0.05,-2.32,0.41,0.06,0.03,36.48,0.22,1998dx
1998dx,251,sn1998dx-19980922.12-fast.flm,5.560488093612922,3582.0,7122.0,18.147224677855924,cfa,0.0537,17.58,0.05,-2.32,0.41,0.06,0.03,36.48,0.22,1998dx
1998ec,252,sn1998ec-19980929.52-fast.flm,-3.518972448279186,3700.0,7286.0,44.70689983574036,cfa,0.0201,16.15,0.15,-0.22,0.57,0.22,0.05,34.88,0.24,1998ec
1998ec,253,sn1998ec-19980930.50-fast.flm,-2.558093930774331,3700.0,7324.0,48.19488786956008,cfa,0.0201,16.15,0.15,-0.22,0.57,0.22,0.05,34.88,0.24,1998ec
1998ef,254,sn1998ef-19981023.37-fast.flm,-4.353755666953764,3708.0,7280.0,99.46526916562388,cfa,0.0167,14.80,0.13,-1.23,0.26,-0.02,0.02,34.00,0.25,1998ef
1998ef,255,sn1998ef-19981024.30-fast.flm,-3.4399680862110102,3708.0,7280.0,86.78169573107245,cfa,0.0167,14.80,0.13,-1.23,0.26,-0.02,0.02,34.00,0.25,1998ef
1998ef,256,sn1998ef-19981029.31-fast.flm,1.4826940422997141,3708.0,7242.0,65.65903386176764,cfa,0.0167,14.80,0.13,-1.23,0.26,-0.02,0.02,34.00,0.25,1998ef
1998eg,257,sn1998eg-19981024.15-fast.flm,-1.203208556149903,3684.0,7230.0,61.334115758682785,cfa,0.0235,16.08,0.10,-0.79,0.35,0.05,0.02,35.17,0.23,1998eg
